file,alt,title,caption,category,usage,tags,source
images/hero-outdoor-umbrella.webp,Sân vườn cafe phủ bóng ô dù ngoài trời trong không gian outdoor living của Ô Dù Đại Phát,Hero ô dù ngoài trời phong cách outdoor living,"Khoảnh khắc sân vườn cafe được che phủ nhẹ nhàng, tạo cảm giác nghỉ dưỡng và tiếp khách ngoài trời cao cấp.",hero,homepage hero luxury outdoor living,"hero,outdoor-living,cafe-san-vuon,villa-garden,luxury-outdoor,odudaiphat",hero-cafe (2).jpg
images/du-lech-tam-hero.webp,Dù lệch tâm vuông hợp kim nhôm bên hồ bơi villa tạo vùng nghỉ mát sang trọng,Hero dù lệch tâm cho hồ bơi villa,"Tán dù lệch tâm mở rộng không gian thư giãn bên hồ bơi, phù hợp resort, villa và khu nghỉ dưỡng riêng tư.",hero,money page hero du lech tam,"du-lech-tam,villa-pool,hop-kim-nhom,boutique-resort,hospitality-outdoor",217673333377658701 (1).jpg
images/category/du-lech-tam.webp,"Bộ sưu tập dù lệch tâm cho sân vườn villa, rooftop cafe và hồ bơi resort",Danh mục dù lệch tâm ngoài trời,"Dòng dù lệch tâm dành cho không gian cần vùng che rộng, dáng hiện đại và cảm giác outdoor lifestyle cao cấp.",category,category du lech tam,"du-lech-tam,patio-umbrella,rooftop-cafe,villa-garden,resort-pool",o-du-lech-tam-vuong-3m-hkn-de-nhua-1.webp
images/category/du-chinh-tam.webp,Dù chính tâm thân gỗ đặt giữa bàn cafe sân vườn với cảm giác mộc sang và thư giãn,Danh mục dù chính tâm thân gỗ,"Dù chính tâm tạo điểm nhấn cân đối cho patio, terrace cafe và khu vực bàn ghế ngoài trời.",category,category du chinh tam,"du-chinh-tam,than-go,terrace-cafe,patio-dining,garden-cafe",1788667080321514.webp
images/category/o-du-cafe.webp,Ô dù cafe ngoài trời hoàn thiện khu bàn ghế sân vườn theo phong cách hospitality cao cấp,Danh mục ô dù cafe ngoài trời,"Các mẫu ô dù cafe giúp không gian phục vụ ngoài trời trở nên mát, chỉn chu và dễ giữ chân khách hơn.",category,category o du cafe,"o-du-cafe,hospitality,cafe-outdoor,garden-seating,premium-patio",o-du-chinh-tam-khung-go-3m-che-nang-quan-cafe-2-1.jpg
images/category/du-san-vuon.webp,"Dù sân vườn cho góc patio villa, bàn trà ngoài trời và không gian thư giãn gia đình",Danh mục dù sân vườn villa,"Dù sân vườn tạo vùng bóng mát vừa đủ cho sân hiên, ban công rộng và khu tiếp khách ngoài trời.",category,category du san vuon,"du-san-vuon,villa-patio,outdoor-living,ban-tra,garden-lounge",650808423_122152807761112864_8382012058897569739_n (1).jpg
images/category/nha-bat-di-dong.webp,Nhà bạt di động 3x3 cho sự kiện ngoài trời cần khu che phủ gọn gàng và linh hoạt,Danh mục nhà bạt di động 3x3,"Nhà bạt xếp phù hợp gian hàng, sự kiện sân vườn và điểm phục vụ tạm thời cần che nắng mưa.",category,category nha bat di dong,"nha-bat-di-dong,3x3,outdoor-event,gian-hang,temporary-shade",vn-11134207-7r98o-lzu0jwh6yjil95.webp
images/projects/du-lech-tam-cafe-ha-noi.webp,Khu bàn cafe ngoài trời tại Hà Nội được bố trí dù lệch tâm để tạo bóng mát và cảm giác nghỉ dưỡng,Không gian cafe Hà Nội dùng dù lệch tâm,"Một góc cafe ngoài trời trở nên dễ ngồi hơn nhờ tán dù lệch tâm, phù hợp mô hình hospitality đô thị.",project,project cafe ha noi,"du-lech-tam,cafe-ha-noi,outdoor-cafe,hospitality,real-installation",650988146_2435452920259137_5536193070326174147_n (1).jpg
images/projects/du-lech-tam-resort-da-nang.webp,Không gian resort Đà Nẵng sử dụng dù lệch tâm tạo điểm nghỉ ngoài trời tinh tế,Dù lệch tâm cho resort Đà Nẵng,"Ứng dụng dù lệch tâm trong bối cảnh nghỉ dưỡng ven biển, nơi trải nghiệm bóng mát và thẩm mỹ đều quan trọng.",project,project resort da nang,"du-lech-tam,resort-da-nang,boutique-resort,coastal-living,hospitality-outdoor",217673333377658701.jpg
images/projects/du-ho-boi-phu-quoc.webp,Hồ bơi villa Phú Quốc với dù ngoài trời tạo vùng lounge nhiệt đới sang trọng,Dù ngoài trời cho hồ bơi villa Phú Quốc,Tán dù bên hồ bơi giúp hoàn thiện cảm giác tropical outdoor living cho villa và khu nghỉ dưỡng riêng tư.,project,project ho boi phu quoc,"villa-pool,phu-quoc,tropical-outdoor,resort-lounge,du-ho-boi",a29549f6-5afc-420a-8e20-3a6a5392ef33.jpg
